focus_accent,word,n_occurrences_focus,n_errors_focus,error_rate_focus,n_occurrences_rest,n_errors_rest,error_rate_rest,difference_focus_minus_rest,missed_rate,substituted_rate
pakistani,snake,2,2,1.0,25,2,0.08,0.92,0.0,1.0
pakistani,stella,2,1,0.5,25,2,0.08,0.42,0.0,0.5
pakistani,six,2,1,0.5,25,4,0.16,0.33999999999999997,0.5,0.0
pakistani,five,2,1,0.5,25,4,0.16,0.33999999999999997,0.5,0.0
pakistani,for,4,1,0.25,50,3,0.06,0.19,0.0,0.25
pakistani,please,2,0,0.0,25,1,0.04,-0.04,0.0,0.0
pakistani,call,2,0,0.0,25,1,0.04,-0.04,0.0,0.0
pakistani,ask,2,0,0.0,25,1,0.04,-0.04,0.0,0.0
pakistani,to,2,0,0.0,25,1,0.04,-0.04,0.0,0.0
pakistani,bring,2,0,0.0,25,1,0.04,-0.04,0.0,0.0
pakistani,these,4,0,0.0,50,2,0.04,-0.04,0.0,0.0
pakistani,things,4,0,0.0,50,2,0.04,-0.04,0.0,0.0
pakistani,from,2,0,0.0,25,1,0.04,-0.04,0.0,0.0
pakistani,the,6,0,0.0,75,3,0.04,-0.04,0.0,0.0
pakistani,store,2,0,0.0,25,1,0.04,-0.04,0.0,0.0
