accent,word,n_occurrences,n_missed,n_substituted,n_errors,error_rate,missed_rate,substituted_rate
arabic,snake,30,1,11,12,0.4,0.03333333333333333,0.36666666666666664
arabic,stella,30,0,8,8,0.26666666666666666,0.0,0.26666666666666666
arabic,three,30,4,4,8,0.26666666666666666,0.13333333333333333,0.13333333333333333
arabic,five,30,3,4,7,0.23333333333333334,0.1,0.13333333333333333
arabic,bob,30,1,6,7,0.23333333333333334,0.03333333333333333,0.2
arabic,bags,30,2,5,7,0.23333333333333334,0.06666666666666667,0.16666666666666666
arabic,with,30,2,4,6,0.2,0.06666666666666667,0.13333333333333333
arabic,six,30,2,4,6,0.2,0.06666666666666667,0.13333333333333333
arabic,big,30,1,5,6,0.2,0.03333333333333333,0.16666666666666666
arabic,frog,30,1,5,6,0.2,0.03333333333333333,0.16666666666666666
arabic,she,30,2,4,6,0.2,0.06666666666666667,0.13333333333333333
arabic,into,30,2,4,6,0.2,0.06666666666666667,0.13333333333333333
arabic,red,30,2,4,6,0.2,0.06666666666666667,0.13333333333333333
arabic,will,30,2,4,6,0.2,0.06666666666666667,0.13333333333333333
arabic,go,30,2,4,6,0.2,0.06666666666666667,0.13333333333333333
arabic,meet,30,2,4,6,0.2,0.06666666666666667,0.13333333333333333
arabic,wednesday,30,2,4,6,0.2,0.06666666666666667,0.13333333333333333
arabic,at,30,3,3,6,0.2,0.1,0.1
arabic,train,30,3,3,6,0.2,0.1,0.1
arabic,station,30,3,3,6,0.2,0.1,0.1
arabic,her,120,6,16,22,0.18333333333333332,0.05,0.13333333333333333
arabic,these,60,2,9,11,0.18333333333333332,0.03333333333333333,0.15
arabic,for,60,3,8,11,0.18333333333333332,0.05,0.13333333333333333
arabic,we,60,3,8,11,0.18333333333333332,0.05,0.13333333333333333
arabic,the,90,5,11,16,0.17777777777777778,0.05555555555555555,0.12222222222222222
arabic,and,90,4,12,16,0.17777777777777778,0.044444444444444446,0.13333333333333333
arabic,from,30,0,5,5,0.16666666666666666,0.0,0.16666666666666666
arabic,spoons,30,0,5,5,0.16666666666666666,0.0,0.16666666666666666
arabic,peas,30,0,5,5,0.16666666666666666,0.0,0.16666666666666666
arabic,thick,30,1,4,5,0.16666666666666666,0.03333333333333333,0.13333333333333333
arabic,slabs,30,1,4,5,0.16666666666666666,0.03333333333333333,0.13333333333333333
arabic,blue,30,1,4,5,0.16666666666666666,0.03333333333333333,0.13333333333333333
arabic,cheese,30,1,4,5,0.16666666666666666,0.03333333333333333,0.13333333333333333
arabic,maybe,30,1,4,5,0.16666666666666666,0.03333333333333333,0.13333333333333333
arabic,a,90,3,12,15,0.16666666666666666,0.03333333333333333,0.13333333333333333
arabic,snack,30,1,4,5,0.16666666666666666,0.03333333333333333,0.13333333333333333
arabic,also,30,1,4,5,0.16666666666666666,0.03333333333333333,0.13333333333333333
arabic,need,30,1,4,5,0.16666666666666666,0.03333333333333333,0.13333333333333333
arabic,small,30,1,4,5,0.16666666666666666,0.03333333333333333,0.13333333333333333
arabic,plastic,30,1,4,5,0.16666666666666666,0.03333333333333333,0.13333333333333333
arabic,toy,30,1,4,5,0.16666666666666666,0.03333333333333333,0.13333333333333333
arabic,kids,30,2,3,5,0.16666666666666666,0.06666666666666667,0.1
